0,010	2,731e-13
0,020	1,539e-14
0,030	4,698e-14
0,040	3,693e-14
0,050	1,834e-14
0,060	3,867e-14
0,070	2,987e-14
0,080	6,589e-15
0,090	6,275e-15
0,100	2,062e-14
0,110	9,612e-15
0,120	2,038e-14
0,130	1,348e-14
0,140	8,586e-15
0,150	2,611e-14
0,160	1,105e-14
0,170	8,256e-15
0,180	1,277e-14
0,190	1,878e-14
0,200	2,104e-14
0,210	1,161e-14
0,220	8,225e-15
0,230	6,561e-15
0,240	7,848e-15
0,250	7,751e-15
0,260	6,275e-15
0,270	1,089e-14
0,280	6,275e-15
0,290	9,852e-15
0,300	4,550e-15
0,310	6,071e-15
0,320	7,255e-15
0,330	1,066e-14
0,340	1,017e-14
0,350	1,310e-14
0,360	5,317e-15
0,370	1,609e-14
0,380	2,147e-14
0,390	1,255e-14
0,400	8,673e-15
0,410	1,651e-14
0,420	7,246e-15
0,430	7,281e-15
0,440	1,421e-14
0,450	1,206e-14
0,460	1,827e-14
0,470	2,026e-14
0,480	1,146e-14
0,490	5,124e-15
0,500	4,766e-15
0,510	3,078e-14
0,520	1,247e-14
0,530	3,826e-15
0,540	5,317e-15
0,550	1,497e-14
0,560	1,939e-14
0,570	1,101e-14
0,580	6,962e-15
0,590	2,010e-15
0,600	8,527e-15
0,610	1,831e-14
0,620	9,533e-15
0,630	6,355e-15
0,640	2,108e-14
0,650	1,907e-14
0,660	1,614e-14
0,670	2,150e-14
0,680	1,247e-14
0,690	3,302e-14
0,700	2,030e-14
0,710	2,759e-14
0,720	1,537e-14
0,730	1,864e-14
0,740	1,912e-14
0,750	2,054e-14
0,760	2,696e-14
0,770	1,477e-14
0,780	5,606e-14
0,790	6,049e-14
0,800	4,890e-14
0,810	2,842e-14
0,820	1,392e-14
0,830	4,476e-14
0,840	3,165e-14
0,850	4,019e-14
0,860	1,798e-14
0,870	4,832e-14
0,880	7,477e-14
0,890	1,202e-13
0,900	4,823e-14
0,910	7,280e-14
0,920	8,218e-14
0,930	1,131e-13
0,940	5,797e-14
0,950	6,821e-14
0,960	2,956e-13
0,970	2,542e-13
0,980	3,126e-13
0,990	4,726e-13
1,000	5,257e+00
1,010	8,580e-13
1,020	7,958e-13
1,030	1,929e-13
1,040	2,296e-13
1,050	1,245e-13
1,060	5,569e-14
1,070	1,769e-13
1,080	1,632e-13
1,090	1,267e-13
1,100	2,050e-14
1,110	5,511e-14
1,120	5,741e-14
1,130	4,476e-14
1,140	2,069e-14
1,150	8,824e-14
1,160	4,898e-14
1,170	3,938e-14
1,180	2,412e-14
1,190	1,531e-14
1,200	2,856e-14
1,210	4,158e-14
1,220	1,271e-14
1,230	3,738e-14
1,240	3,792e-14
1,250	2,165e-14
1,260	2,741e-14
1,270	2,069e-14
1,280	4,072e-14
1,290	3,241e-14
1,300	3,203e-14
1,310	1,421e-14
1,320	2,770e-14
1,330	5,076e-14
1,340	2,242e-14
1,350	2,365e-14
1,360	5,859e-15
1,370	2,326e-14
1,380	9,948e-15
1,390	1,449e-14
1,400	2,395e-14
1,410	1,798e-14
1,420	1,735e-14
1,430	1,974e-14
1,440	1,428e-14
1,450	8,988e-15
1,460	1,589e-14
1,470	1,101e-14
1,480	9,099e-15
1,490	2,842e-15
1,500	6,962e-15
1,510	2,741e-14
1,520	5,859e-15
1,530	1,875e-14
1,540	8,527e-15
1,550	1,239e-14
1,560	6,355e-15
1,570	2,474e-14
1,580	1,589e-15
1,590	2,842e-15
1,600	9,638e-15
1,610	3,318e-14
1,620	1,901e-14
1,630	5,504e-15
1,640	4,256e-14
1,650	2,183e-14
1,660	2,260e-14
1,670	5,684e-15
1,680	1,526e-14
1,690	1,157e-14
1,700	7,653e-15
1,710	6,355e-15
1,720	6,512e-15
1,730	1,222e-14
1,740	1,960e-14
1,750	6,194e-15
1,760	2,433e-14
1,770	7,686e-15
1,780	3,553e-15
1,790	5,550e-15
1,800	1,189e-14
1,810	1,206e-14
1,820	1,463e-14
1,830	1,394e-14
1,840	1,191e-14
1,850	1,112e-14
1,860	6,071e-15
1,870	1,208e-14
1,880	2,247e-15
1,890	1,343e-14
1,900	5,729e-15
1,910	1,251e-14
1,920	5,729e-15
