Time	S1	S 2	S3
0	-1.586140205	-1.837487287	-0.588378341
0.000488281	40.02676102	51.09205811	50.92993928
0.000976563	40.02676102	-48.43403977	-49.83963663
0.001464844	-19.44340628	10.67103271	50.92993928
0.001953125	37.17715311	51.09205811	41.32372917
0.002441406	40.02676102	-18.08913855	50.92993928
0.002929688	40.02676102	47.4078891	50.92993928
0.003417969	40.02676102	51.09205811	-45.80625009
0.00390625	21.87821559	-15.97153125	-15.10740241
0.004394531	37.55346234	-24.67756905	12.84527979
0.004882813	11.28494104	36.20775254	6.905112591
0.005371094	-28.87996239	-9.343337209	-15.13755869
0.005859375	-28.819359	-21.69115618	-2.080663568
0.006347656	-32.86970432	-21.90163524	17.85208207
0.006835938	-38.98559886	-48.43403977	-13.36805558
0.007324219	-38.98559886	-48.43403977	-48.6073568
0.0078125	-38.98559886	-22.71782121	-49.83963663
0.008300781	-4.015725317	-24.034389	-49.83963663
0.008789063	-27.98375274	-30.41263926	-48.35091071
0.009277344	-38.98559886	-30.08515698	-44.77517406
0.009765625	-19.91193386	-8.960448978	-16.3226178
0.010253906	34.37816431	17.2001813	21.3367707
0.010742188	40.02676102	28.77273692	39.91907822
0.011230469	18.93097823	33.39710762	49.3518567
0.01171875	12.78324192	25.6702008	46.56129998
0.012207031	25.17271144	34.09313303	49.32819867
0.012695313	40.02676102	42.55109882	30.39761728
0.013183594	33.18964539	37.19952526	18.98645123
0.013671875	14.35763715	26.68258294	7.152426681
0.014160156	2.934441315	12.15995127	8.333313385
0.014648438	-6.126994658	0.294041004	0.660373764
0.015136719	-1.69258266	-2.135433995	1.294989868
0.015625	-4.569762787	-12.41003986	-3.729868184
0.016113281	-3.999145884	-20.69859689	-13.54241051
0.016601563	-14.81261895	-28.95727343	-20.60584185
0.017089844	-14.17526211	-29.56839172	-26.73169501
0.017578125	-8.581256874	-25.13114582	-25.27850162
0.018066406	-9.329852625	-21.61766925	-23.59924163
0.018554688	-1.82510228	-18.98384609	-20.28674466
0.019042969	-4.509453604	-9.911605648	-14.20553569
0.01953125	-1.694909981	-6.315368705	-6.209271964
0.020019531	0.000903033	5.809828922	7.044830669
0.020507813	3.956059602	13.34448068	9.306736335
0.020996094	3.602454355	17.40309292	15.56256417
0.021484375	1.408142098	22.29011311	18.90703119
0.021972656	5.202920204	21.74454034	20.54428217
0.022460938	1.94555013	18.71239624	20.71446846
0.022949219	1.217549882	19.61269551	12.69603604
0.0234375	-2.24093846	12.12764218	9.757040288
0.023925781	-4.033356627	7.296941623	7.662168342
0.024414063	3.090625061	0.514609933	4.411096936
0.024902344	3.166391122	-2.110327696	-0.924539163
0.025390625	-1.433335327	-2.467915303	-2.323439152
0.025878906	1.185261498	-11.45488435	-8.905411258
0.026367188	1.440306787	-8.685495302	-9.435850089
0.026855469	0.713084936	-13.77618903	-11.91383292
