5.07484e-09	-1.19009e-08	1.68762e-08	-1.86925e-08	1.7e-08	-1.20606e-08	5.16309e-09	
-1.19009e-08	2.79087e-08	-3.95761e-08	4.38356e-08	-3.98664e-08	2.82831e-08	-1.21079e-08	
1.68762e-08	-3.95761e-08	5.61213e-08	-6.21614e-08	5.6533e-08	-4.01071e-08	1.71697e-08	
-1.86925e-08	4.38356e-08	-6.21614e-08	6.88516e-08	-6.26174e-08	4.44237e-08	-1.90176e-08	
1.7e-08	-3.98664e-08	5.6533e-08	-6.26174e-08	5.69476e-08	-4.04013e-08	1.72956e-08	
-1.20606e-08	2.82831e-08	-4.01071e-08	4.44237e-08	-4.04013e-08	2.86626e-08	-1.22703e-08	
5.16309e-09	-1.21079e-08	1.71697e-08	-1.90176e-08	1.72956e-08	-1.22703e-08	5.25287e-09	
2.44881e-09	-2.20988e-09	-6.61588e-10	2.90556e-09	-8.78195e-10	-2.54116e-09	2.15326e-09	
-2.20988e-09	2.77137e-09	1.02502e-09	-2.97319e-09	7.82223e-10	2.40003e-09	-2.54116e-09	
-6.61588e-10	1.02502e-09	4.30566e-10	-9.41959e-10	2.71806e-10	7.82212e-10	-8.78207e-10	
2.90556e-09	-2.97319e-09	-9.41959e-10	3.68982e-09	-9.41948e-10	-2.97318e-09	2.90558e-09	
-8.78195e-10	7.82223e-10	2.71806e-10	-9.41948e-10	4.30551e-10	1.02501e-09	-6.61596e-10	
-2.54116e-09	2.40003e-09	7.82212e-10	-2.97318e-09	1.02501e-09	2.77137e-09	-2.20987e-09	
2.15326e-09	-2.54116e-09	-8.78207e-10	2.90558e-09	-6.61596e-10	-2.20987e-09	2.44882e-09	
